ANIO;MES;EMPRESA;MUNICIPIOS;NIT;ID MERCADO;ID_EMPRESA;ESTRATO;CONEXION;REINSTALACION;RECONEXION;CARGO_FIJO;RANGO_0;RANGO_21
2021;5;EOS ENERGY S.A.S. E.S.P.;BELEN - BRICENO - CALDAS - CERINZA - CHIQUINQUIRA - COMBITA - CUCAITA - DUITAMA - FLORESTA - MOTAVITA - NAZARETH - NOBSA - OICATA - PAIPA - RAQUIRA - SACHICA - SAMACA - SANTA ROSA DE VITERBO - SANTA SOFIA - SOGAMOSO - SORA - SUTAMARCHAN - TIBASOSA - TINJACA - TUNJA - TUNUNGUA - TUTA - VILLA DE LEYVA - BOJACA - CAJICA - CHIA - COGUA - COTA - CUCUNUBA - FACATATIVA - FUNZA - FUQUENE - CAPELLANIA - GACHANCIPA - MADRID - MOSQUERA - NEMOCON - SIMIJACA - SOPO - SUSA - SUTATAUSA - TABIO - TAUSA - TENJO - TOCANCIPA - VILLA DE SAN DIEGO DE UBATE - ZIPACON - ZIPAQUIRA - ALBANIA - FLORIAN - LA BELLEZA;9010349736;169;37253;1;577919;454168;52109;0;502.32;1193.4
2021;5;EOS ENERGY S.A.S. E.S.P.;BELEN - BRICENO - CALDAS - CERINZA - CHIQUINQUIRA - COMBITA - CUCAITA - DUITAMA - FLORESTA - MOTAVITA - NAZARETH - NOBSA - OICATA - PAIPA - RAQUIRA - SACHICA - SAMACA - SANTA ROSA DE VITERBO - SANTA SOFIA - SOGAMOSO - SORA - SUTAMARCHAN - TIBASOSA - TINJACA - TUNJA - TUNUNGUA - TUTA - VILLA DE LEYVA - BOJACA - CAJICA - CHIA - COGUA - COTA - CUCUNUBA - FACATATIVA - FUNZA - FUQUENE - CAPELLANIA - GACHANCIPA - MADRID - MOSQUERA - NEMOCON - SIMIJACA - SOPO - SUSA - SUTATAUSA - TABIO - TAUSA - TENJO - TOCANCIPA - VILLA DE SAN DIEGO DE UBATE - ZIPACON - ZIPAQUIRA - ALBANIA - FLORIAN - LA BELLEZA;9010349736;169;37253;2;577919;454168;52109;0;627.9;1193.4
2021;5;EOS ENERGY S.A.S. E.S.P.;BELEN - BRICENO - CALDAS - CERINZA - CHIQUINQUIRA - COMBITA - CUCAITA - DUITAMA - FLORESTA - MOTAVITA - NAZARETH - NOBSA - OICATA - PAIPA - RAQUIRA - SACHICA - SAMACA - SANTA ROSA DE VITERBO - SANTA SOFIA - SOGAMOSO - SORA - SUTAMARCHAN - TIBASOSA - TINJACA - TUNJA - TUNUNGUA - TUTA - VILLA DE LEYVA - BOJACA - CAJICA - CHIA - COGUA - COTA - CUCUNUBA - FACATATIVA - FUNZA - FUQUENE - CAPELLANIA - GACHANCIPA - MADRID - MOSQUERA - NEMOCON - SIMIJACA - SOPO - SUSA - SUTATAUSA - TABIO - TAUSA - TENJO - TOCANCIPA - VILLA DE SAN DIEGO DE UBATE - ZIPACON - ZIPAQUIRA - ALBANIA - FLORIAN - LA BELLEZA;9010349736;169;37253;6;577919;454168;52109;2792.4;1432.08;1432.08
2021;5;EOS ENERGY S.A.S. E.S.P.;BELEN - BRICENO - CALDAS - CERINZA - CHIQUINQUIRA - COMBITA - CUCAITA - DUITAMA - FLORESTA - MOTAVITA - NAZARETH - NOBSA - OICATA - PAIPA - RAQUIRA - SACHICA - SAMACA - SANTA ROSA DE VITERBO - SANTA SOFIA - SOGAMOSO - SORA - SUTAMARCHAN - TIBASOSA - TINJACA - TUNJA - TUNUNGUA - TUTA - VILLA DE LEYVA - BOJACA - CAJICA - CHIA - COGUA - COTA - CUCUNUBA - FACATATIVA - FUNZA - FUQUENE - CAPELLANIA - GACHANCIPA - MADRID - MOSQUERA - NEMOCON - SIMIJACA - SOPO - SUSA - SUTATAUSA - TABIO - TAUSA - TENJO - TOCANCIPA - VILLA DE SAN DIEGO DE UBATE - ZIPACON - ZIPAQUIRA - ALBANIA - FLORIAN - LA BELLEZA;9010349736;169;37253;3;577919;454168;52109;2327;1193.4;1193.4
2021;5;EOS ENERGY S.A.S. E.S.P.;BELEN - BRICENO - CALDAS - CERINZA - CHIQUINQUIRA - COMBITA - CUCAITA - DUITAMA - FLORESTA - MOTAVITA - NAZARETH - NOBSA - OICATA - PAIPA - RAQUIRA - SACHICA - SAMACA - SANTA ROSA DE VITERBO - SANTA SOFIA - SOGAMOSO - SORA - SUTAMARCHAN - TIBASOSA - TINJACA - TUNJA - TUNUNGUA - TUTA - VILLA DE LEYVA - BOJACA - CAJICA - CHIA - COGUA - COTA - CUCUNUBA - FACATATIVA - FUNZA - FUQUENE - CAPELLANIA - GACHANCIPA - MADRID - MOSQUERA - NEMOCON - SIMIJACA - SOPO - SUSA - SUTATAUSA - TABIO - TAUSA - TENJO - TOCANCIPA - VILLA DE SAN DIEGO DE UBATE - ZIPACON - ZIPAQUIRA - ALBANIA - FLORIAN - LA BELLEZA;9010349736;169;37253;4;577919;454168;52109;2327;1193.4;1193.4
2021;5;EOS ENERGY S.A.S. E.S.P.;BELEN - BRICENO - CALDAS - CERINZA - CHIQUINQUIRA - COMBITA - CUCAITA - DUITAMA - FLORESTA - MOTAVITA - NAZARETH - NOBSA - OICATA - PAIPA - RAQUIRA - SACHICA - SAMACA - SANTA ROSA DE VITERBO - SANTA SOFIA - SOGAMOSO - SORA - SUTAMARCHAN - TIBASOSA - TINJACA - TUNJA - TUNUNGUA - TUTA - VILLA DE LEYVA - BOJACA - CAJICA - CHIA - COGUA - COTA - CUCUNUBA - FACATATIVA - FUNZA - FUQUENE - CAPELLANIA - GACHANCIPA - MADRID - MOSQUERA - NEMOCON - SIMIJACA - SOPO - SUSA - SUTATAUSA - TABIO - TAUSA - TENJO - TOCANCIPA - VILLA DE SAN DIEGO DE UBATE - ZIPACON - ZIPAQUIRA - ALBANIA - FLORIAN - LA BELLEZA;9010349736;169;37253;5;577919;454168;52109;2792.4;1432.08;1432.08
2021;5;ALCANOS DE COLOMBIA S.A. E.S.P.;PASTO;8911015774;133;618;2;610567;211354;36224;0;1468.43;2447.91
2021;5;ALCANOS DE COLOMBIA S.A. E.S.P.;PASTO;8911015774;133;618;4;610567;211354;36224;3454.78;2658.42;2658.42
2021;5;ALCANOS DE COLOMBIA S.A. E.S.P.;PASTO;8911015774;133;618;1;610567;211354;36224;0;1221.36;2447.91
2021;5;ALCANOS DE COLOMBIA S.A. E.S.P.;PASTO;8911015774;133;618;6;610567;211354;36224;4145.74;3190.1;3190.1
